,Symbol,Description
0,A,Agilent Technologies
1,AA,Alcoa Corp
2,AAN,Aaron's Inc
3,AAP,Advance Auto Parts Inc
4,AAT,American Assets Trust
5,AB,Alliancebernstein Holding LP
6,ABB,Abb Ltd
7,ABBV,Abbvie Inc
8,ABC,Amerisourcebergen Corp
9,ABEV,Ambev S.A.
10,ABG,Asbury Automotive Group Inc
11,ABM,ABM Industries Incorporated
12,ABR,Arbor Realty Trust
13,ABR-A,Arbor Rlty TR Inc [Abr/Pa]
14,ABR-B,Arbor Rlty TR Inc [Abr/Pb]
15,ABR-C,Arbor Rlty TR Inc [Abr/Pc]
16,ABT,Abbott Laboratories
17,AC,Associated Capital Group Inc
18,ACA,Arcosa Inc
19,ACB,Aurora Cannabis Inc
20,ACC,American Campus Communities Inc
21,ACCO,Acco Brands Corp
22,ACE.W,Accel Entmt Inc [Acel/W]
23,ACEL,Accel Entertainment Inc.
24,ACH,Aluminum Corp of China Ltd
25,ACM,Aecom Technology Corp
26,ACN,Accenture Plc
27,ACP,Avenue Income Credit Strategies
28,ACRE,Ares Commercial Real Estate Cor
29,ACV,Allianzgi Diversified Income &
30,ADC,Agree Realty Corp
31,ADM,Archer Daniels Midland
32,ADNT,Adient Plc
33,ADS,Alliance Data Systems Corp
34,ADSW,Advanced Disposal Services Inc
35,ADT,ADT Inc
36,ADX,Adams Express Company
37,AEB,Aegon N.V. Perp Cap Secs Floating Rate [Ne]
38,AEE,Ameren Corp
39,AEFC,Aegon Funding Company Llc 5.10% Subordinated Not
40,AEG,Aegon N.V.
41,AEL,American Equity Investment Life
42,AEL-A,American Equity Investment Life Holding CO 5.95%
43,AEM,Agnico-Eagle Mines Ltd
44,AEO,American Eagle Outfitters
45,AEP,American Electric Power Company
46,AEP-B,American Elec Pwr Co. Inc [Aep/Pb]
47,AER,Aercap Holdings N.V.
48,AES,The Aes Corp
49,AFB,Alliance National Municipal
50,AFC,Allied Capital Corp
51,AFG,American Financial Group
52,AFGB,American Financial Group Inc 5.875% Subordinat
53,AFGC,American Financial Group Inc 5.125% Subordinate
54,AFGH,American Financial Group Inc
55,AFI,Armstrong Flooring Inc
56,AFL,Aflac Incorporated
57,AFT,Apollo Senior Floating Rate Fund Inc
58,AG,First Majestic Silver
59,AGCO,Agco Corp
60,AGD,Alpine Global Dynamic Dividend Fund
61,AGI,Alamos Gold Inc
62,AGM,Federal Agricultural Mortgage Corp
63,AGM-A,Federal Agricultural Mortgage Corp [Agm/Pa]
64,AGM-C,Federal Agricultural Mortgage Corp [Agm/Pc]
65,AGM-D,Federal Agricultural Mortgage Corp [Agm/Pd]
66,AGM.A,Federal Agricultural Mortgage Corp
67,AGN,Allergan Plc
68,AGO,Assured Guaranty Ltd
69,AGO-B,Assured Guaranty Municipal Hlds IN [Ago/Pb]
70,AGO-E,Assured Guaranty Municipal Hlds IN [Ago/Pe]
71,AGO-F,Assured Guaranty Municipal Hlds IN [Ago/Pf]
72,AGR,Avangrid Inc
73,AGRO,Adecoagro S.A.
74,AGS,Playags Inc
75,AGX,Argan Inc
76,AHC,A.H. Belo Corp
77,AHH,Armada Hoffler Properties Inc
78,AHH-A,Armada Hoffler Pptys Inc [Ahh/Pa]
79,AHL-C,Aspen Insurance Holdings Ltd [Ahl/Pc]
80,AHL-D,Aspen Insurance Holdings Ltd [Ahl/Pd]
81,AHL-E,Aspen Insurance Holdings Ltd [Ahl/Pe]
82,AHT,Ashford Hospitality Trust Inc
83,AHT-D,Ashford Hospitality TR Inc [Aht/Pd]
84,AHT-F,Ashford Hospitality TR Inc [Aht/Pf]
85,AHT-G,Ashford Hospitality TR Inc [Aht/Pg]
86,AHT-H,Ashford Hospitality TR Inc [Aht/Ph]
87,AHT-I,Ashford Hospitality TR Inc [Aht/Pi]
88,AI,Arlington Asset Investment Corp
89,AI-B,Arlington Asset Investment Corp [Ai/Pb]
90,AI-C,Arlington Asset Investment Corp [Ai/Pc]
91,AIC,Arlington Asset Investment Cor
92,AIF,Apollo Tactical Income Fund Inc
93,AIG,American International Group
94,AIG-A,American International Group Inc [Aig/Pa]
95,AIG.W,American Intl Group Inc WT [Aig/W]
96,AIN,Albany International Corp
97,AIO,Allianzgi Artificial Intelligence & Technology O
98,AIR,AAR Corp
99,AIT,Applied Industrial Technologies
100,AIV,Apartment Investment and Management
101,AIW,Arlington Asset Investment Cor
102,AIZ,Assurant Inc
103,AIZP,Assurant Inc 6.50% Series D Mandatory Converti
104,AJG,Arthur J. Gallagher & Company
105,AJRD,Aerojet Rocketdyne Holdings
106,AJX,Great Ajax Corp
107,AJXA,Great Ajax Corp 7.25% Convertible Senior Notes
108,AKO.A,Embotell Andina Sa Cl A
109,AKO.B,Embotell Andna Sa Cl B
110,AKR,Acadia Realty Trust
111,AKS,AK Steel Holding Corp
112,AL,Air Lease Corp Cl A
113,AL-A,Air Lease Corp [Al/Pa]
114,ALB,Albemarle Corp
115,ALC,Alcon Inc
116,ALE,Allete Inc
117,ALEX,Alexander and Baldwin Inc
118,ALG,Alamo Group
119,ALI-A,Altera Infrastructure LP Pfd A
120,ALI-B,Altera Infrastructure LP Units
121,ALI-E,Altera Infrastructure LP Pfd E
122,ALK,Alaska Air Group
123,ALL,Allstate Corp
124,ALL-B,Allstate Corp [All/Pb]
125,ALL-G,Allstate Corp [All/Pg]
126,ALL-H,Allstate Corp [All/Ph]
127,ALL-I,Allstate Corp 4.75% Prf Perpetual USD 25
128,ALL-Y,GMAC Capital Trust I [Ally/Pa]
129,ALLE,Allegion Plc
130,ALLY,Ally Financial
131,ALP-Q,Alabama Power Co. [Alp/Pq]
132,ALSN,Allison Transmission Holdings
133,ALT.W,Alta Equipment Group Inc [Altg/W]
134,ALTG,Alta Equipment Group Inc.
135,ALU.U,Alussa Energy Acquisition Corp [Alus.U]
136,ALU.W,Alussa Energy Acquisition Corp [Alus/W]
137,ALUS,Alussa Energy Acquisition Corp Cl A
138,ALV,Autoliv Inc
139,ALX,Alexander's Inc
140,AM,Antero Midstream Corp
141,AMB.W,Ambac Financial Group
142,AMBC,Ambac Financial Group
143,AMC,Amc Entertainment Holdings Inc
144,AMCR,Amcor Plc
145,AME,Amtek Inc
146,AMG,Affiliated Managers Group
147,AMH,American Homes 4 Rent
148,AMH-D,American Homes 4 Rent [Amh/Pd]
149,AMH-E,American Homes 4 Rent [Amh/Pe]
150,AMH-F,American Homes 4 Rent [Amh/Pf]
151,AMH-G,American Homes 4 Rent [Amh/Pg]
152,AMH-H,American Homes 4 Rent [Amh/Ph]
153,AMK,Assetmark Financial Holdings Inc
154,AMN,Amn Healthcare Services Inc
155,AMOV,America Movil A ADR
156,AMP,Ameriprise Financial Services
157,AMPY,Amplify Energy Corp
158,AMRC,Ameresco Inc
159,AMRX,Amneal Pharmaceuticals Inc
160,AMT,American Tower Corp
161,AMX,America Movil S.A.B. DE C.V.
162,AN,Autonation Inc
163,ANET,Arista Networks Inc
164,ANF,Abercrombie & Fitch Company
165,ANH,Anworth Mortgage Asset Corp
166,ANH-A,Anworth Mortgage Asset Cp [Anh/Pa]
167,ANH-B,Anworth Mortgage Asset Cp [Anh/Pb]
168,ANH-C,Anworth Mortgage Asset Cp [Anh/Pc]
169,ANTM,Anthem Inc
170,AOD,Alpine Total Dynamic Dividend
